"Date","Close","% Change","% Change vs Average","Volume"
"2016-04-11T04:00:00.000Z","27.46","1.10","0.56","649,240,000"
"2016-04-18T04:00:00.000Z","26.42","-3.80","-4.33","756,212,000"
"2016-04-25T04:00:00.000Z","23.43","-11.30","-11.83","1,397,696,400"
"2016-05-02T04:00:00.000Z","23.18","-1.09","-1.62","902,429,200"
"2016-05-09T04:00:00.000Z","22.63","-2.37","-2.90","864,199,200"
"2016-05-16T04:00:00.000Z","23.81","5.19","4.66","850,828,800"
"2016-05-23T04:00:00.000Z","25.09","5.39","4.86","816,000,000"
"2016-05-30T04:00:00.000Z","24.48","-2.42","-2.95","560,708,000"
"2016-06-06T04:00:00.000Z","24.71","0.93","0.40","499,457,600"
"2016-06-13T04:00:00.000Z","23.83","-3.54","-4.07","766,930,400"
"2016-06-20T04:00:00.000Z","23.35","-2.02","-2.56","826,916,000"
"2016-06-27T04:00:00.000Z","23.97","2.67","2.13","737,313,600"
"2016-07-04T04:00:00.000Z","24.17","0.82","0.29","450,824,000"
"2016-07-11T04:00:00.000Z","24.69","2.17","1.64","571,642,400"
"2016-07-18T04:00:00.000Z","24.67","-0.12","-0.65","590,262,000"
"2016-07-25T04:00:00.000Z","26.05","5.63","5.09","1,026,284,000"
"2016-08-01T04:00:00.000Z","26.87","3.14","2.61","680,596,800"
"2016-08-08T04:00:00.000Z","27.05","0.65","0.12","498,023,200"
"2016-08-15T04:00:00.000Z","27.34","1.09","0.56","529,485,600"
"2016-08-22T04:00:00.000Z","26.74","-2.21","-2.74","494,422,000"
"2016-08-29T04:00:00.000Z","26.93","0.74","0.21","532,002,400"
"2016-09-05T04:00:00.000Z","25.78","-4.27","-4.80","675,214,800"
"2016-09-12T04:00:00.000Z","28.73","11.43","10.90","1,552,912,800"
"2016-09-19T04:00:00.000Z","28.18","-1.92","-2.45","804,382,800"
"2016-09-26T04:00:00.000Z","28.26","0.30","-0.23","625,536,000"
"2016-10-03T04:00:00.000Z","28.51","0.89","0.36","504,117,600"
"2016-10-10T04:00:00.000Z","29.41","3.13","2.60","834,833,600"
"2016-10-17T04:00:00.000Z","29.15","-0.88","-1.41","462,126,000"
