"Date","Close","% Change","% Change vs Average","Volume"
"2010-12-01T05:00:00.000Z","11.52","3.67","1.61","6,973,234,800"
"2011-01-01T05:00:00.000Z","12.12","5.20","3.13","10,841,535,600"
"2011-02-01T05:00:00.000Z","12.61","4.09","2.03","9,295,949,600"
"2011-03-01T05:00:00.000Z","12.45","-1.33","-3.39","11,306,458,800"
"2011-04-01T04:00:00.000Z","12.50","0.46","-1.60","9,253,829,200"
"2011-05-01T04:00:00.000Z","12.42","-0.66","-2.72","6,912,060,400"
"2011-06-01T04:00:00.000Z","11.99","-3.50","-5.56","9,263,850,400"
"2011-07-01T04:00:00.000Z","13.95","16.33","14.27","10,653,946,800"
"2011-08-01T04:00:00.000Z","13.74","-1.45","-3.51","16,142,599,200"
"2011-09-01T04:00:00.000Z","13.62","-0.91","-2.97","11,977,448,000"
"2011-10-01T04:00:00.000Z","14.46","6.15","4.09","13,141,427,600"
"2011-11-01T04:00:00.000Z","13.65","-5.58","-7.64","8,963,701,600"
"2011-12-01T05:00:00.000Z","14.46","5.97","3.90","6,306,532,400"
"2012-01-01T05:00:00.000Z","16.30","12.71","10.65","6,859,854,400"
"2012-02-01T05:00:00.000Z","19.37","18.83","16.77","11,368,554,400"
"2012-03-01T05:00:00.000Z","21.41","10.53","8.47","15,584,338,000"
"2012-04-01T04:00:00.000Z","20.86","-2.60","-4.66","15,598,990,400"
"2012-05-01T04:00:00.000Z","20.63","-1.07","-3.13","11,106,345,600"
"2012-06-01T04:00:00.000Z","20.86","1.09","-0.98","7,855,825,600"
"2012-07-01T04:00:00.000Z","21.81","4.58","2.52","8,909,650,400"
"2012-08-01T04:00:00.000Z","23.76","8.92","6.86","8,276,206,400"
"2012-09-01T04:00:00.000Z","23.83","0.28","-1.78","9,199,005,200"
"2012-10-01T04:00:00.000Z","21.26","-10.76","-12.82","12,142,830,000"
"2012-11-01T04:00:00.000Z","20.90","-1.69","-3.75","12,929,851,200"
"2012-12-01T05:00:00.000Z","19.01","-9.07","-11.14","12,132,752,800"
"2013-01-01T05:00:00.000Z","16.27","-14.41","-16.47","13,123,423,600"
"2013-02-01T05:00:00.000Z","15.76","-3.09","-5.16","9,344,034,000"
"2013-03-01T05:00:00.000Z","15.81","0.29","-1.78","9,176,876,800"
"2013-04-01T04:00:00.000Z","15.81","0.03","-2.03","10,963,489,600"
"2013-05-01T04:00:00.000Z","16.06","1.57","-0.49","9,447,530,400"
"2013-06-01T04:00:00.000Z","14.16","-11.83","-13.89","7,018,536,000"
"2013-07-01T04:00:00.000Z","16.16","14.12","12.06","6,538,114,800"
"2013-08-01T04:00:00.000Z","17.40","7.67","5.60","8,058,338,400"
"2013-09-01T04:00:00.000Z","17.03","-2.15","-4.21","8,630,941,200"
"2013-10-01T04:00:00.000Z","18.67","9.64","7.58","7,837,732,000"
"2013-11-01T04:00:00.000Z","19.86","6.38","4.32","5,225,155,600"
"2013-12-01T05:00:00.000Z","20.04","0.89","-1.17","7,057,397,200"
"2014-01-01T05:00:00.000Z","17.88","-10.77","-12.83","8,765,954,400"
"2014-02-01T05:00:00.000Z","18.79","5.12","3.06","5,880,366,800"
"2014-03-01T05:00:00.000Z","19.17","2.00","-0.07","5,001,698,800"
"2014-04-01T04:00:00.000Z","21.07","9.94","7.88","6,435,060,800"
"2014-05-01T04:00:00.000Z","22.61","7.27","5.21","5,735,668,400"
"2014-06-01T04:00:00.000Z","23.23","2.77","0.70","4,827,739,200"
"2014-07-01T04:00:00.000Z","23.90","2.87","0.81","4,140,344,000"
"2014-08-01T04:00:00.000Z","25.63","7.22","5.16","3,748,308,000"
"2014-09-01T04:00:00.000Z","25.19","-1.71","-3.77","6,105,680,000"
"2014-10-01T04:00:00.000Z","27.00","7.20","5.13","5,441,120,800"
"2014-11-01T04:00:00.000Z","29.73","10.12","8.06","3,281,632,800"
"2014-12-01T05:00:00.000Z","27.59","-7.19","-9.25","4,294,378,400"
"2015-01-01T05:00:00.000Z","29.29","6.14","4.08","5,221,053,600"
"2015-02-01T05:00:00.000Z","32.12","9.64","7.58","4,546,140,800"
"2015-03-01T05:00:00.000Z","31.11","-3.14","-5.20","4,554,568,400"
"2015-04-01T04:00:00.000Z","31.29","0.58","-1.48","3,984,542,000"
"2015-05-01T04:00:00.000Z","32.57","4.10","2.04","3,816,608,400"
"2015-06-01T04:00:00.000Z","31.36","-3.72","-5.78","3,514,426,800"
"2015-07-01T04:00:00.000Z","30.33","-3.29","-5.35","4,233,122,400"
"2015-08-01T04:00:00.000Z","28.19","-7.04","-9.10","6,427,276,400"
"2015-09-01T04:00:00.000Z","27.58","-2.18","-4.24","4,826,189,200"
"2015-10-01T04:00:00.000Z","29.88","8.34","6.28","4,450,048,400"
"2015-11-01T04:00:00.000Z","29.58","-1.00","-3.07","3,002,562,400"
"2015-12-01T05:00:00.000Z","26.32","-11.02","-13.08","3,687,660,800"
"2016-01-01T05:00:00.000Z","24.33","-7.52","-9.59","5,087,392,000"
"2016-02-01T05:00:00.000Z","24.17","-0.67","-2.73","3,243,450,400"
"2016-03-01T05:00:00.000Z","27.25","12.72","10.66","2,984,198,400"
"2016-04-01T04:00:00.000Z","23.43","-13.99","-16.05","3,489,534,800"
"2016-05-01T04:00:00.000Z","24.97","6.53","4.47","3,602,686,000"
"2016-06-01T04:00:00.000Z","23.90","-4.27","-6.33","3,117,990,800"
"2016-07-01T04:00:00.000Z","26.05","9.01","6.94","2,743,118,400"
"2016-08-01T04:00:00.000Z","26.52","1.81","-0.25","2,520,514,000"
"2016-09-01T04:00:00.000Z","28.26","6.55","4.49","3,872,062,400"
"2016-10-01T04:00:00.000Z","28.39","0.43","-1.63","2,747,657,200"
"2016-11-01T04:00:00.000Z","27.63","-2.66","-4.72","2,886,220,000"
"2016-12-01T05:00:00.000Z","28.95","4.80","2.73","2,435,086,800"
"2017-01-01T05:00:00.000Z","30.34","4.77","2.71","2,252,488,000"
"2017-02-01T05:00:00.000Z","34.25","12.89","10.83","2,299,874,400"
