"Date","Close","% Change","% Change vs Average","Volume"
"2016-04-11T04:00:00.000Z","31.29","5.26","4.74","319,470,000"
"2016-04-18T04:00:00.000Z","31.02","-0.86","-1.39","374,128,000"
"2016-04-25T04:00:00.000Z","32.98","6.30","5.77","549,128,000"
"2016-05-02T04:00:00.000Z","33.70","2.18","1.65","507,736,000"
"2016-05-09T04:00:00.000Z","35.50","5.34","4.81","544,752,000"
"2016-05-16T04:00:00.000Z","35.14","-1.00","-1.53","415,586,000"
"2016-05-23T04:00:00.000Z","35.61","1.34","0.82","271,850,000"
"2016-05-30T04:00:00.000Z","36.28","1.87","1.34","265,506,000"
"2016-06-06T04:00:00.000Z","35.90","-1.05","-1.58","265,134,000"
"2016-06-13T04:00:00.000Z","35.32","-1.60","-2.13","351,286,000"
"2016-06-20T04:00:00.000Z","34.95","-1.05","-1.58","370,654,000"
"2016-06-27T04:00:00.000Z","36.28","3.82","3.30","369,012,000"
"2016-07-04T04:00:00.000Z","37.29","2.77","2.25","254,892,000"
"2016-07-11T04:00:00.000Z","36.77","-1.39","-1.92","369,464,000"
"2016-07-18T04:00:00.000Z","37.24","1.28","0.76","239,610,000"
"2016-07-25T04:00:00.000Z","37.94","1.87","1.35","450,336,000"
"2016-08-01T04:00:00.000Z","38.30","0.94","0.42","332,912,000"
"2016-08-08T04:00:00.000Z","38.63","0.86","0.33","180,994,000"
"2016-08-15T04:00:00.000Z","37.87","-1.97","-2.50","188,324,000"
"2016-08-22T04:00:00.000Z","38.45","1.54","1.02","186,946,000"
"2016-08-29T04:00:00.000Z","38.62","0.45","-0.08","190,314,000"
"2016-09-05T04:00:00.000Z","38.01","-1.59","-2.12","248,644,000"
"2016-09-12T04:00:00.000Z","38.93","2.42","1.89","345,962,000"
"2016-09-19T04:00:00.000Z","40.29","3.50","2.97","267,708,000"
"2016-09-26T04:00:00.000Z","41.87","3.92","3.39","404,918,000"
"2016-10-03T04:00:00.000Z","41.97","0.25","-0.27","285,980,000"
"2016-10-10T04:00:00.000Z","41.15","-1.96","-2.49","277,738,000"
"2016-10-17T04:00:00.000Z","40.95","-0.48","-1.01","278,194,000"
"2016-10-24T04:00:00.000Z","38.82","-5.21","-5.74","591,098,000"
"2016-10-31T04:00:00.000Z","37.75","-2.74","-3.27","494,796,000"
"2016-11-07T05:00:00.000Z","36.95","-2.12","-2.65","746,594,000"
"2016-11-14T05:00:00.000Z","38.01","2.86","2.34","515,788,000"
"2016-11-21T05:00:00.000Z","39.02","2.66","2.13","306,066,000"
"2016-11-28T05:00:00.000Z","37.02","-5.13","-5.66","411,286,000"
"2016-12-05T05:00:00.000Z","38.43","3.83","3.30","349,096,000"
"2016-12-12T05:00:00.000Z","37.89","-1.42","-1.94","447,082,000"
"2016-12-19T05:00:00.000Z","38.03","0.37","-0.15","247,732,000"
"2016-12-26T05:00:00.000Z","37.49","-1.41","-1.94","264,748,000"
"2017-01-02T05:00:00.000Z","39.80","6.15","5.62","356,958,000"
"2017-01-09T05:00:00.000Z","40.86","2.66","2.13","353,262,000"
"2017-01-16T05:00:00.000Z","40.42","-1.08","-1.60","238,834,000"
"2017-01-23T05:00:00.000Z","41.79","3.39","2.87","325,536,000"
"2017-01-30T05:00:00.000Z","40.51","-3.06","-3.59","579,080,000"
"2017-02-06T05:00:00.000Z","41.37","2.13","1.60","302,718,000"
"2017-02-13T05:00:00.000Z","42.25","2.13","1.60","315,218,000"
"2017-02-20T05:00:00.000Z","42.26","0.02","-0.51","265,494,000"
"2017-02-27T05:00:00.000Z","42.49","0.55","0.02","246,812,000"
"2017-03-06T05:00:00.000Z","42.62","0.30","-0.22","232,582,000"
"2017-03-13T04:00:00.000Z","42.62","-0.02","-0.54","236,584,000"
"2017-03-20T04:00:00.000Z","42.28","-0.79","-1.31","268,312,000"
"2017-03-27T04:00:00.000Z","44.33","4.84","4.31","340,070,000"
"2017-04-03T04:00:00.000Z","44.74","0.94","0.41","519,408,000"
"2017-04-10T04:00:00.000Z","44.23","-1.14","-1.67","236,554,000"
"2017-04-17T04:00:00.000Z","44.93","1.57","1.04","279,180,000"
"2017-04-24T04:00:00.000Z","46.25","2.94","2.42","435,652,000"
"2017-05-01T04:00:00.000Z","46.71","0.99","0.46","363,656,000"
"2017-05-08T04:00:00.000Z","48.07","2.91","2.39","291,886,000"
