"Date","Close","% Change","% Change vs Average","Volume"
"2010-12-01T05:00:00.000Z","9.00","2.62","0.37","1,873,234,000"
"2011-01-01T05:00:00.000Z","8.48","-5.76","-8.01","2,272,226,000"
"2011-02-01T05:00:00.000Z","8.66","2.15","-0.10","1,915,528,000"
"2011-03-01T05:00:00.000Z","9.01","3.95","1.69","2,379,582,000"
"2011-04-01T04:00:00.000Z","9.79","8.70","6.45","2,334,988,000"
"2011-05-01T04:00:00.000Z","9.83","0.45","-1.81","2,125,490,000"
"2011-06-01T04:00:00.000Z","10.22","3.97","1.71","1,911,274,000"
"2011-07-01T04:00:00.000Z","11.13","8.82","6.56","1,856,170,000"
"2011-08-01T04:00:00.000Z","10.76","-3.28","-5.53","3,103,894,000"
"2011-09-01T04:00:00.000Z","10.81","0.46","-1.79","2,872,466,000"
"2011-10-01T04:00:00.000Z","10.68","-1.26","-3.51","3,184,288,000"
"2011-11-01T04:00:00.000Z","9.61","-9.94","-12.19","2,731,762,000"
"2011-12-01T05:00:00.000Z","8.65","-9.98","-12.24","2,511,904,000"
"2012-01-01T05:00:00.000Z","9.72","12.33","10.07","2,210,738,000"
"2012-02-01T05:00:00.000Z","8.98","-7.59","-9.84","2,931,608,000"
"2012-03-01T05:00:00.000Z","10.13","12.70","10.44","2,259,502,000"
"2012-04-01T04:00:00.000Z","11.60","14.51","12.26","2,210,708,000"
"2012-05-01T04:00:00.000Z","10.65","-8.19","-10.45","1,855,486,000"
"2012-06-01T04:00:00.000Z","11.42","7.25","5.00","1,314,912,000"
"2012-07-01T04:00:00.000Z","11.66","2.17","-0.09","1,546,804,000"
"2012-08-01T04:00:00.000Z","12.41","6.42","4.16","1,203,848,000"
"2012-09-01T04:00:00.000Z","12.72","2.44","0.18","1,271,410,000"
"2012-10-01T04:00:00.000Z","11.64","-8.43","-10.68","1,631,370,000"
"2012-11-01T04:00:00.000Z","12.60","8.23","5.97","1,344,272,000"
"2012-12-01T05:00:00.000Z","12.54","-0.47","-2.72","1,217,424,000"
"2013-01-01T05:00:00.000Z","13.27","5.83","3.58","1,684,528,000"
"2013-02-01T05:00:00.000Z","13.21","-0.46","-2.72","1,373,234,000"
"2013-03-01T05:00:00.000Z","13.32","0.84","-1.42","1,170,114,000"
"2013-04-01T04:00:00.000Z","12.69","-4.76","-7.01","1,538,324,000"
"2013-05-01T04:00:00.000Z","13.46","6.06","3.81","1,181,010,000"
"2013-06-01T04:00:00.000Z","13.88","3.15","0.90","1,171,516,000"
"2013-07-01T04:00:00.000Z","15.06","8.47","6.22","1,350,738,000"
"2013-08-01T04:00:00.000Z","14.05","-6.72","-8.98","875,478,000"
"2013-09-01T04:00:00.000Z","15.63","11.27","9.01","869,376,000"
