"Date","Close","% Change","% Change vs Average","Volume"
"2016-04-11T04:00:00.000Z","37.95","2.69","2.26","144,496,000"
"2016-04-18T04:00:00.000Z","35.94","-5.30","-5.72","282,618,000"
"2016-04-25T04:00:00.000Z","34.65","-3.58","-4.01","263,148,000"
"2016-05-02T04:00:00.000Z","35.56","2.61","2.19","167,908,000"
"2016-05-09T04:00:00.000Z","35.54","-0.04","-0.46","148,944,000"
"2016-05-16T04:00:00.000Z","35.49","-0.15","-0.57","171,674,000"
"2016-05-23T04:00:00.000Z","36.63","3.23","2.81","168,814,000"
"2016-05-30T04:00:00.000Z","36.12","-1.41","-1.83","119,024,000"
"2016-06-06T04:00:00.000Z","35.97","-0.41","-0.83","133,810,000"
"2016-06-13T04:00:00.000Z","34.59","-3.85","-4.27","183,288,000"
"2016-06-20T04:00:00.000Z","33.76","-2.39","-2.81","227,056,000"
"2016-06-27T04:00:00.000Z","34.96","3.55","3.13","193,556,000"
"2016-07-04T04:00:00.000Z","35.28","0.92","0.50","115,078,000"
"2016-07-11T04:00:00.000Z","35.99","2.02","1.59","112,282,000"
"2016-07-18T04:00:00.000Z","37.14","3.18","2.76","121,976,000"
"2016-07-25T04:00:00.000Z","38.44","3.51","3.09","222,066,000"
"2016-08-01T04:00:00.000Z","39.11","1.75","1.33","174,278,000"
"2016-08-08T04:00:00.000Z","39.16","0.13","-0.29","98,576,000"
"2016-08-15T04:00:00.000Z","38.77","-1.00","-1.42","89,426,000"
"2016-08-22T04:00:00.000Z","38.48","-0.76","-1.18","100,904,000"
"2016-08-29T04:00:00.000Z","38.57","0.25","-0.17","104,480,000"
"2016-09-05T04:00:00.000Z","37.98","-1.53","-1.95","109,846,000"
"2016-09-12T04:00:00.000Z","38.44","1.21","0.79","142,956,000"
"2016-09-19T04:00:00.000Z","39.35","2.34","1.92","124,346,000"
"2016-09-26T04:00:00.000Z","38.86","-1.22","-1.64","133,924,000"
"2016-10-03T04:00:00.000Z","38.75","-0.28","-0.71","118,906,000"
"2016-10-10T04:00:00.000Z","38.93","0.45","0.02","114,052,000"
"2016-10-17T04:00:00.000Z","39.97","2.68","2.26","158,808,000"
"2016-10-24T04:00:00.000Z","39.77","-0.50","-0.92","238,814,000"
"2016-10-31T04:00:00.000Z","38.10","-4.19","-4.61","215,682,000"
"2016-11-07T05:00:00.000Z","37.70","-1.05","-1.47","254,722,000"
"2016-11-14T05:00:00.000Z","38.03","0.86","0.44","207,242,000"
"2016-11-21T05:00:00.000Z","38.08","0.15","-0.27","99,790,000"
"2016-11-28T05:00:00.000Z","37.53","-1.47","-1.89","213,362,000"
"2016-12-05T05:00:00.000Z","39.46","5.17","4.75","163,118,000"
"2016-12-12T05:00:00.000Z","39.54","0.19","-0.23","200,476,000"
"2016-12-19T05:00:00.000Z","39.50","-0.11","-0.53","99,800,000"
"2016-12-26T05:00:00.000Z","38.59","-2.29","-2.71","89,144,000"
"2017-01-02T05:00:00.000Z","40.31","4.45","4.03","114,114,000"
"2017-01-09T05:00:00.000Z","40.39","0.21","-0.21","119,392,000"
"2017-01-16T05:00:00.000Z","40.25","-0.35","-0.78","104,916,000"
"2017-01-23T05:00:00.000Z","41.17","2.27","1.85","217,436,000"
"2017-01-30T05:00:00.000Z","40.07","-2.65","-3.07","208,648,000"
"2017-02-06T05:00:00.000Z","40.68","1.52","1.10","114,114,000"
"2017-02-13T05:00:00.000Z","41.40","1.77","1.35","129,604,000"
"2017-02-20T05:00:00.000Z","41.43","0.07","-0.35","102,204,000"
"2017-02-27T05:00:00.000Z","41.45","0.05","-0.37","133,954,000"
"2017-03-06T05:00:00.000Z","42.16","1.71","1.29","122,038,000"
"2017-03-13T04:00:00.000Z","42.61","1.05","0.63","121,498,000"
"2017-03-20T04:00:00.000Z","40.72","-4.42","-4.84","211,292,000"
"2017-03-27T04:00:00.000Z","41.48","1.86","1.44","155,166,000"
"2017-04-03T04:00:00.000Z","41.23","-0.59","-1.01","131,678,000"
"2017-04-10T04:00:00.000Z","41.18","-0.13","-0.56","81,630,000"
"2017-04-17T04:00:00.000Z","42.16","2.38","1.96","99,370,000"
"2017-04-24T04:00:00.000Z","45.30","7.44","7.02","191,696,000"
"2017-05-01T04:00:00.000Z","46.36","2.34","1.92","170,722,000"
"2017-05-08T04:00:00.000Z","46.61","0.55","0.13","119,422,000"
"2017-05-15T04:00:00.000Z","46.70","0.19","-0.23","148,592,000"
"2017-05-22T04:00:00.000Z","48.57","4.01","3.59","126,570,000"
"2017-05-29T04:00:00.000Z","48.78","0.43","0","141,526,000"
"2017-06-05T04:00:00.000Z","47.49","-2.64","-3.06","186,238,000"
"2017-06-12T04:00:00.000Z","46.99","-1.06","-1.48","249,886,000"
"2017-06-19T04:00:00.000Z","48.28","2.75","2.33","126,616,000"
"2017-06-26T04:00:00.000Z","45.44","-5.89","-6.31","245,782,000"
"2017-07-03T04:00:00.000Z","45.93","1.09","0.66","131,720,000"
"2017-07-10T04:00:00.000Z","47.80","4.07","3.65","123,732,000"
"2017-07-17T04:00:00.000Z","48.65","1.77","1.35","137,590,000"
"2017-07-24T04:00:00.000Z","47.08","-3.23","-3.65","301,140,000"
"2017-07-31T04:00:00.000Z","46.40","-1.44","-1.86","147,140,000"
"2017-08-07T04:00:00.000Z","45.72","-1.46","-1.88","126,334,000"
"2017-08-14T04:00:00.000Z","45.53","-0.41","-0.83","111,490,000"
"2017-08-21T04:00:00.000Z","45.79","0.57","0.15","110,480,000"
"2017-08-28T04:00:00.000Z","46.87","2.34","1.92","122,066,000"
"2017-09-04T04:00:00.000Z","46.33","-1.16","-1.58","101,566,000"
"2017-09-11T04:00:00.000Z","46.01","-0.67","-1.09","148,140,000"
"2017-09-18T04:00:00.000Z","46.43","0.90","0.47","125,134,000"
"2017-09-25T04:00:00.000Z","47.96","3.29","2.87","167,288,000"
"2017-10-02T04:00:00.000Z","48.94","2.06","1.64","110,236,000"
"2017-10-09T04:00:00.000Z","49.48","1.10","0.68","119,706,000"
"2017-10-16T04:00:00.000Z","49.41","-0.15","-0.57","115,102,000"
"2017-10-23T04:00:00.000Z","50.96","3.14","2.72","222,234,000"
"2017-10-30T04:00:00.000Z","51.62","1.30","0.87","138,292,000"
"2017-11-06T05:00:00.000Z","51.40","-0.43","-0.85","105,828,000"
"2017-11-13T05:00:00.000Z","50.95","-0.87","-1.29","104,516,000"
"2017-11-20T05:00:00.000Z","52.03","2.11","1.69","66,676,000"
"2017-11-27T05:00:00.000Z","50.51","-2.93","-3.35","176,506,000"
"2017-12-04T05:00:00.000Z","51.85","2.66","2.24","159,894,000"
"2017-12-11T05:00:00.000Z","53.21","2.62","2.20","171,792,000"
"2017-12-18T05:00:00.000Z","53.01","-0.38","-0.80","118,254,000"
"2017-12-25T05:00:00.000Z","52.32","-1.29","-1.72","75,142,000"
"2018-01-01T05:00:00.000Z","55.11","5.34","4.91","99,030,000"
"2018-01-08T05:00:00.000Z","56.11","1.82","1.40","113,834,000"
"2018-01-15T05:00:00.000Z","56.88","1.36","0.94","115,086,000"
"2018-01-22T05:00:00.000Z","58.79","3.37","2.95","157,340,000"
"2018-01-29T05:00:00.000Z","55.60","-5.44","-5.86","234,878,000"
"2018-02-05T05:00:00.000Z","51.89","-6.67","-7.09","319,610,000"
"2018-02-12T05:00:00.000Z","54.74","5.49","5.07","168,030,000"
"2018-02-19T05:00:00.000Z","56.34","2.92","2.50","110,284,000"
"2018-02-26T05:00:00.000Z","53.95","-4.25","-4.67","200,066,000"
"2018-03-05T05:00:00.000Z","58.00","7.52","7.10","150,212,000"
"2018-03-12T04:00:00.000Z","56.79","-2.10","-2.52","197,166,000"
"2018-03-19T04:00:00.000Z","51.08","-10.05","-10.47","226,808,000"
"2018-03-26T04:00:00.000Z","51.59","1.00","0.58","237,130,000"
"2018-04-02T04:00:00.000Z","50.35","-2.40","-2.82","210,992,000"
