"Date","Close","% Change","% Change vs Average","Volume"
"2010-12-01T05:00:00.000Z","14.79","6.88","5.13","1,697,747,812"
"2011-01-01T05:00:00.000Z","14.95","1.08","-0.68","2,408,369,449"
"2011-02-01T05:00:00.000Z","15.28","2.17","0.42","1,681,037,411"
"2011-03-01T05:00:00.000Z","14.61","-4.34","-6.09","2,414,576,630"
"2011-04-01T04:00:00.000Z","13.55","-7.27","-9.02","2,820,199,328"
"2011-05-01T04:00:00.000Z","13.18","-2.77","-4.52","1,819,912,003"
"2011-06-01T04:00:00.000Z","12.61","-4.28","-6.03","2,373,868,616"
"2011-07-01T04:00:00.000Z","15.04","19.22","17.47","3,254,372,638"
"2011-08-01T04:00:00.000Z","13.47","-10.39","-12.14","4,287,032,849"
"2011-09-01T04:00:00.000Z","12.83","-4.79","-6.54","2,353,978,341"
"2011-10-01T04:00:00.000Z","14.76","15.07","13.32","3,100,196,907"
"2011-11-01T04:00:00.000Z","14.93","1.14","-0.61","2,421,060,842"
"2011-12-01T05:00:00.000Z","16.09","7.76","6.01","2,210,153,263"
"2012-01-01T05:00:00.000Z","14.45","-10.19","-11.94","2,956,745,222"
"2012-02-01T05:00:00.000Z","15.40","6.57","4.82","1,901,685,367"
"2012-03-01T05:00:00.000Z","15.97","3.72","1.97","1,900,304,210"
"2012-04-01T04:00:00.000Z","15.06","-5.67","-7.43","2,363,935,524"
"2012-05-01T04:00:00.000Z","14.47","-3.97","-5.72","2,355,728,878"
"2012-06-01T04:00:00.000Z","14.45","-0.14","-1.89","1,867,144,380"
"2012-07-01T04:00:00.000Z","15.77","9.12","7.37","2,059,153,390"
"2012-08-01T04:00:00.000Z","17.06","8.23","6.48","1,889,588,194"
"2012-09-01T04:00:00.000Z","18.79","10.13","8.38","2,416,126,416"
"2012-10-01T04:00:00.000Z","16.94","-9.83","-11.59","2,882,716,781"
"2012-11-01T04:00:00.000Z","17.39","2.66","0.90","1,874,166,603"
"2012-12-01T05:00:00.000Z","17.62","1.29","-0.46","1,674,071,398"
"2013-01-01T05:00:00.000Z","18.82","6.83","5.08","2,104,065,102"
"2013-02-01T05:00:00.000Z","19.96","6.02","4.27","1,860,563,808"
"2013-03-01T05:00:00.000Z","19.78","-0.87","-2.63","1,708,335,347"
"2013-04-01T04:00:00.000Z","20.54","3.83","2.07","2,150,117,073"
"2013-05-01T04:00:00.000Z","21.70","5.66","3.91","1,984,101,129"
"2013-06-01T04:00:00.000Z","21.93","1.05","-0.70","1,950,507,679"
"2013-07-01T04:00:00.000Z","22.11","0.84","-0.91","2,057,503,228"
"2013-08-01T04:00:00.000Z","21.09","-4.60","-6.35","1,344,504,713"
"2013-09-01T04:00:00.000Z","21.82","3.43","1.67","1,329,906,200"
"2013-10-01T04:00:00.000Z","25.67","17.66","15.91","2,217,259,798"
"2013-11-01T04:00:00.000Z","26.39","2.81","1.06","1,054,200,647"
"2013-12-01T05:00:00.000Z","27.91","5.77","4.02","1,358,802,104"
"2014-01-01T05:00:00.000Z","29.41","5.38","3.63","2,188,640,930"
"2014-02-01T05:00:00.000Z","30.28","2.94","1.18","1,627,931,099"
"2014-03-01T05:00:00.000Z","27.77","-8.28","-10.03","1,431,962,004"
"2014-04-01T04:00:00.000Z","26.26","-5.44","-7.19","1,347,112,369"
"2014-05-01T04:00:00.000Z","27.92","6.31","4.56","732,559,737"
"2014-06-01T04:00:00.000Z","28.69","2.75","1.00","760,049,001"
