"Date","Close","% Change","% Change vs Average","Volume"
"2016-01-04T05:00:00.000Z","25.27","0.84","0.86","3,624,000"
"2016-01-11T05:00:00.000Z","25.42","0.59","0.62","2,734,900"
"2016-01-18T05:00:00.000Z","25.43","0.04","0.06","9,769,000"
"2016-01-25T05:00:00.000Z","25.60","0.67","0.69","2,974,200"
"2016-02-01T05:00:00.000Z","25.69","0.35","0.37","3,772,600"
"2016-02-08T05:00:00.000Z","25.82","0.51","0.53","4,916,700"
"2016-02-15T05:00:00.000Z","25.80","-0.08","-0.05","1,736,200"
"2016-02-22T05:00:00.000Z","25.76","-0.16","-0.13","2,990,000"
"2016-02-29T05:00:00.000Z","25.59","-0.66","-0.64","5,925,400"
"2016-03-07T05:00:00.000Z","25.48","-0.43","-0.41","2,075,200"
"2016-03-14T04:00:00.000Z","25.65","0.67","0.69","4,146,800"
"2016-03-21T04:00:00.000Z","25.64","-0.04","-0.02","3,000,200"
"2016-03-28T04:00:00.000Z","25.77","0.51","0.53","2,892,900"
"2016-04-04T04:00:00.000Z","25.89","0.47","0.49","2,216,400"
"2016-04-11T04:00:00.000Z","25.83","-0.23","-0.21","1,196,500"
"2016-04-18T04:00:00.000Z","25.65","-0.70","-0.67","1,820,200"
"2016-04-25T04:00:00.000Z","25.71","0.23","0.26","1,566,200"
"2016-05-02T04:00:00.000Z","25.77","0.23","0.26","1,852,100"
"2016-05-09T04:00:00.000Z","25.88","0.43","0.45","1,473,500"
"2016-05-16T04:00:00.000Z","25.70","-0.70","-0.67","4,186,600"
"2016-05-23T04:00:00.000Z","25.67","-0.12","-0.09","1,365,600"
"2016-05-30T04:00:00.000Z","25.89","0.86","0.88","1,525,900"
"2016-06-06T04:00:00.000Z","25.99","0.39","0.41","1,530,500"
"2016-06-13T04:00:00.000Z","26.06","0.27","0.29","2,950,000"
"2016-06-20T04:00:00.000Z","26.11","0.19","0.21","1,315,700"
"2016-06-27T04:00:00.000Z","26.30","0.73","0.75","1,614,600"
"2016-07-04T04:00:00.000Z","26.43","0.49","0.52","2,535,900"
"2016-07-11T04:00:00.000Z","26.13","-1.14","-1.11","3,381,800"
"2016-07-18T04:00:00.000Z","26.14","0.04","0.06","11,229,900"
"2016-07-25T04:00:00.000Z","26.33","0.73","0.75","1,881,900"
"2016-08-01T04:00:00.000Z","26.11","-0.84","-0.81","2,786,800"
"2016-08-08T04:00:00.000Z","26.18","0.27","0.29","6,357,600"
"2016-08-15T04:00:00.000Z","26.12","-0.23","-0.21","1,325,000"
"2016-08-22T04:00:00.000Z","26.07","-0.19","-0.17","1,223,600"
"2016-08-29T04:00:00.000Z","26.07","0","0.02","4,496,200"
"2016-09-05T04:00:00.000Z","25.96","-0.42","-0.40","2,816,100"
"2016-09-12T04:00:00.000Z","25.93","-0.12","-0.09","1,166,100"
"2016-09-19T04:00:00.000Z","26.05","0.46","0.49","1,571,300"
"2016-09-26T04:00:00.000Z","26.08","0.12","0.14","1,482,400"
"2016-10-03T04:00:00.000Z","25.87","-0.81","-0.78","7,991,000"
"2016-10-10T04:00:00.000Z","25.77","-0.39","-0.36","2,474,300"
"2016-10-17T04:00:00.000Z","25.86","0.35","0.37","4,855,700"
"2016-10-24T04:00:00.000Z","25.72","-0.54","-0.52","2,515,400"
"2016-10-31T04:00:00.000Z","25.80","0.31","0.33","8,448,700"
"2016-11-07T05:00:00.000Z","25.24","-2.17","-2.15","2,573,300"
"2016-11-14T05:00:00.000Z","25.06","-0.71","-0.69","3,819,900"
"2016-11-21T05:00:00.000Z","25.03","-0.12","-0.10","1,427,800"
"2016-11-28T05:00:00.000Z","24.98","-0.20","-0.18","11,107,400"
"2016-12-05T05:00:00.000Z","24.87","-0.44","-0.42","5,085,000"
"2016-12-12T05:00:00.000Z","24.75","-0.48","-0.46","7,296,600"
"2016-12-19T05:00:00.000Z","24.81","0.24","0.27","3,665,600"
"2016-12-26T05:00:00.000Z","24.93","0.48","0.51","7,121,000"
"2017-01-02T05:00:00.000Z","25.00","0.28","0.30","4,554,800"
"2017-01-09T05:00:00.000Z","25.03","0.12","0.14","4,798,600"
"2017-01-16T05:00:00.000Z","24.97","-0.24","-0.22","26,955,900"
"2017-01-23T05:00:00.000Z","24.96","-0.04","-0.02","23,153,800"
"2017-01-30T05:00:00.000Z","24.95","-0.04","-0.02","6,230,600"
"2017-02-06T05:00:00.000Z","25.05","0.40","0.42","4,244,500"
"2017-02-13T05:00:00.000Z","25.01","-0.16","-0.14","6,418,100"
"2017-02-20T05:00:00.000Z","25.16","0.60","0.62","2,646,100"
"2017-02-27T05:00:00.000Z","24.89","-1.07","-1.05","9,419,500"
"2017-03-06T05:00:00.000Z","24.78","-0.44","-0.42","4,324,000"
"2017-03-13T04:00:00.000Z","24.89","0.44","0.47","5,710,500"
"2017-03-20T04:00:00.000Z","25.03","0.56","0.59","7,850,700"
"2017-03-27T04:00:00.000Z","25.05","0.08","0.10","3,065,500"
"2017-04-03T04:00:00.000Z","25.06","0.04","0.06","8,337,400"
"2017-04-10T04:00:00.000Z","25.28","0.88","0.90","3,790,200"
"2017-04-17T04:00:00.000Z","25.27","-0.04","-0.02","4,525,200"
"2017-04-24T04:00:00.000Z","25.20","-0.28","-0.25","4,703,600"
