"Date","Close","% Change","% Change vs Average","Volume"
"2016-04-11T04:00:00.000Z","109.64","-0.89","-1.42","203,633,900"
"2016-04-18T04:00:00.000Z","110.56","0.84","0.31","131,739,000"
"2016-04-25T04:00:00.000Z","117.58","6.35","5.82","220,003,200"
"2016-05-02T04:00:00.000Z","119.49","1.62","1.10","124,113,400"
"2016-05-09T04:00:00.000Z","119.81","0.27","-0.26","106,556,300"
"2016-05-16T04:00:00.000Z","117.35","-2.05","-2.58","113,707,600"
"2016-05-23T04:00:00.000Z","119.38","1.73","1.20","92,619,300"
"2016-05-30T04:00:00.000Z","118.47","-0.76","-1.29","65,940,500"
"2016-06-06T04:00:00.000Z","116.62","-1.56","-2.09","76,723,300"
"2016-06-13T04:00:00.000Z","113.02","-3.09","-3.61","113,036,700"
"2016-06-20T04:00:00.000Z","112.08","-0.83","-1.36","111,618,000"
"2016-06-27T04:00:00.000Z","114.19","1.88","1.36","122,085,200"
"2016-07-04T04:00:00.000Z","117.24","2.67","2.14","73,317,400"
"2016-07-11T04:00:00.000Z","116.86","-0.32","-0.85","80,362,700"
"2016-07-18T04:00:00.000Z","121.00","3.54","3.02","98,680,300"
"2016-07-25T04:00:00.000Z","123.94","2.43","1.90","202,768,200"
"2016-08-01T04:00:00.000Z","125.15","0.98","0.45","108,750,600"
"2016-08-08T04:00:00.000Z","124.88","-0.22","-0.74","69,413,500"
"2016-08-15T04:00:00.000Z","123.56","-1.06","-1.58","71,400,800"
"2016-08-22T04:00:00.000Z","124.96","1.13","0.61","68,175,200"
"2016-08-29T04:00:00.000Z","126.51","1.24","0.71","73,585,700"
"2016-09-05T04:00:00.000Z","127.10","0.47","-0.06","97,046,500"
"2016-09-12T04:00:00.000Z","129.07","1.55","1.02","94,156,500"
"2016-09-19T04:00:00.000Z","127.96","-0.86","-1.39","83,975,500"
"2016-09-26T04:00:00.000Z","128.27","0.24","-0.28","75,684,700"
"2016-10-03T04:00:00.000Z","128.99","0.56","0.03","64,338,300"
"2016-10-10T04:00:00.000Z","127.88","-0.86","-1.39","74,234,200"
"2016-10-17T04:00:00.000Z","132.07","3.28","2.75","73,864,300"
"2016-10-24T04:00:00.000Z","131.29","-0.59","-1.12","85,178,600"
"2016-10-31T04:00:00.000Z","120.75","-8.03","-8.55","171,699,500"
"2016-11-07T05:00:00.000Z","119.02","-1.43","-1.96","175,072,500"
"2016-11-14T05:00:00.000Z","117.02","-1.68","-2.21","159,933,400"
"2016-11-21T05:00:00.000Z","120.38","2.87","2.34","85,835,300"
"2016-11-28T05:00:00.000Z","115.40","-4.14","-4.66","135,528,600"
"2016-12-05T05:00:00.000Z","119.68","3.71","3.18","101,153,900"
"2016-12-12T05:00:00.000Z","119.87","0.16","-0.37","118,950,500"
"2016-12-19T05:00:00.000Z","117.27","-2.17","-2.70","67,518,700"
"2016-12-26T05:00:00.000Z","115.05","-1.89","-2.42","52,757,900"
"2017-01-02T05:00:00.000Z","123.41","7.27","6.74","88,332,300"
"2017-01-09T05:00:00.000Z","128.34","3.99","3.47","102,099,700"
"2017-01-16T05:00:00.000Z","127.04","-1.01","-1.54","59,733,100"
"2017-01-23T05:00:00.000Z","132.18","4.05","3.52","90,047,200"
"2017-01-30T05:00:00.000Z","130.98","-0.91","-1.43","168,057,700"
"2017-02-06T05:00:00.000Z","134.19","2.45","1.92","85,578,000"
"2017-02-13T05:00:00.000Z","133.53","-0.49","-1.02","66,225,200"
"2017-02-20T05:00:00.000Z","135.44","1.43","0.90","73,167,400"
"2017-02-27T05:00:00.000Z","137.17","1.28","0.75","70,131,200"
"2017-03-06T05:00:00.000Z","138.79","1.18","0.65","68,309,200"
"2017-03-13T04:00:00.000Z","139.84","0.76","0.23","77,450,000"
"2017-03-20T04:00:00.000Z","140.34","0.36","-0.17","88,737,200"
"2017-03-27T04:00:00.000Z","142.05","1.22","0.69","67,889,800"
"2017-04-03T04:00:00.000Z","140.78","-0.89","-1.42","70,592,400"
