"Date","Close","% Change","% Change vs Average","Volume"
"2012-06-01T04:00:00.000Z","31.10","0","-2.64","667,910,500"
"2012-07-01T04:00:00.000Z","21.71","-30.19","-32.84","520,189,700"
"2012-08-01T04:00:00.000Z","18.06","-16.81","-19.46","1,151,944,900"
"2012-09-01T04:00:00.000Z","21.66","19.93","17.29","1,058,643,700"
"2012-10-01T04:00:00.000Z","21.11","-2.54","-5.18","1,100,938,300"
"2012-11-01T04:00:00.000Z","28.00","32.64","29.99","1,527,490,200"
"2012-12-01T05:00:00.000Z","26.62","-4.93","-7.57","1,191,832,200"
"2013-01-01T05:00:00.000Z","30.98","16.38","13.73","1,675,851,700"
"2013-02-01T05:00:00.000Z","27.25","-12.04","-14.68","957,639,800"
"2013-03-01T05:00:00.000Z","25.58","-6.13","-8.77","727,180,500"
"2013-04-01T04:00:00.000Z","27.77","8.56","5.92","738,509,200"
"2013-05-01T04:00:00.000Z","24.35","-12.32","-14.96","982,094,800"
"2013-06-01T04:00:00.000Z","24.88","2.18","-0.47","788,331,500"
"2013-07-01T04:00:00.000Z","36.80","47.91","45.27","1,438,017,100"
"2013-08-01T04:00:00.000Z","41.29","12.20","9.56","1,344,994,100"
"2013-09-01T04:00:00.000Z","50.23","21.65","19.01","1,583,083,800"
"2013-10-01T04:00:00.000Z","50.21","-0.04","-2.68","2,032,635,000"
"2013-11-01T04:00:00.000Z","47.01","-6.37","-9.02","1,357,311,900"
"2013-12-01T05:00:00.000Z","54.65","16.25","13.61","1,517,533,200"
"2014-01-01T05:00:00.000Z","62.57","14.49","11.85","1,294,714,800"
"2014-02-01T05:00:00.000Z","68.46","9.41","6.77","1,110,774,100"
"2014-03-01T05:00:00.000Z","60.24","-12.01","-14.65","1,255,440,000"
"2014-04-01T04:00:00.000Z","59.78","-0.76","-3.41","1,883,965,100"
"2014-05-01T04:00:00.000Z","63.30","5.89","3.24","1,120,155,500"
"2014-06-01T04:00:00.000Z","67.29","6.30","3.66","863,389,800"
"2014-07-01T04:00:00.000Z","72.65","7.97","5.32","1,028,365,000"
"2014-08-01T04:00:00.000Z","74.82","2.99","0.34","590,763,600"
"2014-09-01T04:00:00.000Z","79.04","5.64","3.00","720,995,800"
"2014-10-01T04:00:00.000Z","74.99","-5.12","-7.77","1,083,643,000"
"2014-11-01T04:00:00.000Z","77.70","3.61","0.97","490,965,300"
"2014-12-01T05:00:00.000Z","78.02","0.41","-2.23","534,527,100"
"2015-01-01T05:00:00.000Z","75.91","-2.70","-5.35","546,210,700"
"2015-02-01T05:00:00.000Z","78.97","4.03","1.39","475,148,700"
"2015-03-01T05:00:00.000Z","82.22","4.12","1.47","575,349,900"
"2015-04-01T04:00:00.000Z","78.77","-4.20","-6.84","542,124,600"
"2015-05-01T04:00:00.000Z","79.19","0.53","-2.11","421,870,700"
"2015-06-01T04:00:00.000Z","85.77","8.31","5.67","537,740,300"
"2015-07-01T04:00:00.000Z","94.01","9.61","6.96","790,781,000"
"2015-08-01T04:00:00.000Z","89.43","-4.87","-7.52","709,884,600"
"2015-09-01T04:00:00.000Z","89.90","0.53","-2.12","635,399,800"
"2015-10-01T04:00:00.000Z","101.97","13.43","10.78","571,590,400"
"2015-11-01T04:00:00.000Z","104.24","2.23","-0.42","547,232,800"
"2015-12-01T05:00:00.000Z","104.66","0.40","-2.24","440,304,100"
"2016-01-01T05:00:00.000Z","112.21","7.21","4.57","792,709,100"
"2016-02-01T05:00:00.000Z","106.92","-4.71","-7.36","874,152,500"
"2016-03-01T05:00:00.000Z","114.10","6.72","4.07","521,458,900"
"2016-04-01T04:00:00.000Z","117.58","3.05","0.41","741,613,800"
"2016-05-01T04:00:00.000Z","118.81","1.05","-1.60","460,544,200"
"2016-06-01T04:00:00.000Z","114.28","-3.81","-6.46","450,876,100"
"2016-07-01T04:00:00.000Z","123.94","8.45","5.81","470,108,600"
"2016-08-01T04:00:00.000Z","126.12","1.76","-0.88","365,670,900"
"2016-09-01T04:00:00.000Z","128.27","1.70","-0.94","376,518,100"
"2016-10-01T04:00:00.000Z","130.99","2.12","-0.52","313,284,400"
"2016-11-01T04:00:00.000Z","118.42","-9.60","-12.24","644,052,900"
"2016-12-01T05:00:00.000Z","115.05","-2.85","-5.49","408,728,400"
"2017-01-01T05:00:00.000Z","130.32","13.27","10.63","378,958,900"
"2017-02-01T05:00:00.000Z","135.54","4.01","1.36","384,700,500"
"2017-03-01T05:00:00.000Z","142.05","4.80","2.16","342,098,600"
"2017-04-01T04:00:00.000Z","150.25","5.77","3.13","275,586,300"
"2017-05-01T04:00:00.000Z","151.46","0.81","-1.84","403,586,900"
"2017-06-01T04:00:00.000Z","150.98","-0.32","-2.96","414,757,100"
"2017-07-01T04:00:00.000Z","169.25","12.10","9.46","419,907,600"
"2017-08-01T04:00:00.000Z","171.97","1.61","-1.04","303,622,800"
"2017-09-01T04:00:00.000Z","170.87","-0.64","-3.28","304,818,300"
"2017-10-01T04:00:00.000Z","180.06","5.38","2.73","318,146,600"
"2017-11-01T04:00:00.000Z","177.18","-1.60","-4.24","350,998,700"
"2017-12-01T05:00:00.000Z","176.46","-0.41","-3.05","317,095,800"
"2018-01-01T05:00:00.000Z","186.89","5.91","3.27","495,655,700"
"2018-02-01T05:00:00.000Z","178.32","-4.59","-7.23","516,251,600"
"2018-03-01T05:00:00.000Z","159.79","-10.39","-13.04","996,201,700"
"2018-04-01T04:00:00.000Z","172.00","7.64","5.00","750,072,700"
"2018-05-01T04:00:00.000Z","191.78","11.50","8.86","401,144,100"
"2018-06-01T04:00:00.000Z","194.32","1.32","-1.32","387,265,600"
"2018-07-01T04:00:00.000Z","172.58","-11.19","-13.83","647,030,700"
"2018-08-01T04:00:00.000Z","175.73","1.83","-0.82","548,832,700"
"2018-09-01T04:00:00.000Z","164.46","-6.41","-9.06","500,468,800"
"2018-10-01T04:00:00.000Z","151.79","-7.70","-10.35","622,446,300"
"2018-11-01T04:00:00.000Z","140.61","-7.37","-10.01","518,151,700"
"2018-12-01T05:00:00.000Z","131.09","-6.77","-9.41","558,786,200"
"2019-01-01T05:00:00.000Z","166.69","27.16","24.51","527,547,900"
"2019-02-01T05:00:00.000Z","161.45","-3.14","-5.79","302,243,200"
"2019-03-01T05:00:00.000Z","166.69","3.25","0.60","387,936,100"
"2019-04-01T04:00:00.000Z","193.40","16.02","13.38","381,985,300"
"2019-05-01T04:00:00.000Z","177.47","-8.24","-10.88","286,821,500"
"2019-06-01T04:00:00.000Z","193.00","8.75","6.11","426,428,600"
"2019-07-01T04:00:00.000Z","194.23","0.64","-2.01","351,020,900"
"2019-08-01T04:00:00.000Z","185.67","-4.41","-7.05","294,689,500"
"2019-09-01T04:00:00.000Z","178.08","-4.09","-6.73","264,538,500"
"2019-10-01T04:00:00.000Z","191.65","7.62","4.98","326,207,200"
"2019-11-01T04:00:00.000Z","201.64","5.21","2.57","258,303,900"
"2019-12-01T05:00:00.000Z","205.25","1.79","-0.85","276,257,100"
"2020-01-01T05:00:00.000Z","201.91","-1.63","-4.27","347,314,600"
"2020-02-01T05:00:00.000Z","192.47","-4.68","-7.32","317,547,300"
"2020-03-01T05:00:00.000Z","166.80","-13.34","-15.98","649,467,700"
