"Date","Close","% Change","% Change vs Average","Volume"
"2016-01-04T05:00:00.000Z","52.33","-5.68","-6.15","232,695,500"
"2016-01-11T05:00:00.000Z","50.99","-2.56","-3.03","264,125,500"
"2016-01-18T05:00:00.000Z","52.29","2.55","2.08","184,584,500"
"2016-01-25T05:00:00.000Z","55.09","5.35","4.88","246,509,200"
"2016-02-01T05:00:00.000Z","50.16","-8.95","-9.42","267,078,200"
"2016-02-08T05:00:00.000Z","50.50","0.68","0.21","227,389,900"
"2016-02-15T05:00:00.000Z","51.82","2.61","2.14","138,815,300"
"2016-02-22T05:00:00.000Z","51.30","-1.00","-1.47","149,833,500"
"2016-02-29T05:00:00.000Z","52.03","1.42","0.95","151,430,400"
"2016-03-07T05:00:00.000Z","53.07","2.00","1.53","171,158,000"
"2016-03-14T04:00:00.000Z","53.49","0.79","0.32","172,729,500"
"2016-03-21T04:00:00.000Z","54.21","1.35","0.87","87,128,800"
"2016-03-28T04:00:00.000Z","55.57","2.51","2.04","114,717,400"
"2016-04-04T04:00:00.000Z","54.42","-2.07","-2.54","100,782,100"
"2016-04-11T04:00:00.000Z","55.65","2.26","1.79","116,847,400"
"2016-04-18T04:00:00.000Z","51.78","-6.95","-7.43","255,321,700"
"2016-04-25T04:00:00.000Z","49.87","-3.69","-4.16","201,675,300"
"2016-05-02T04:00:00.000Z","50.39","1.04","0.57","134,010,300"
"2016-05-09T04:00:00.000Z","51.08","1.37","0.90","111,576,800"
"2016-05-16T04:00:00.000Z","50.62","-0.90","-1.37","120,491,200"
"2016-05-23T04:00:00.000Z","52.32","3.36","2.89","126,973,400"
"2016-05-30T04:00:00.000Z","51.79","-1.01","-1.48","109,187,000"
"2016-06-06T04:00:00.000Z","51.48","-0.60","-1.07","106,398,400"
"2016-06-13T04:00:00.000Z","50.13","-2.62","-3.09","236,451,600"
"2016-06-20T04:00:00.000Z","49.83","-0.60","-1.07","261,054,300"
"2016-06-27T04:00:00.000Z","51.16","2.67","2.20","169,589,200"
"2016-07-04T04:00:00.000Z","52.30","2.23","1.76","100,950,100"
"2016-07-11T04:00:00.000Z","53.70","2.68","2.21","131,513,500"
"2016-07-18T04:00:00.000Z","56.57","5.34","4.87","239,597,600"
"2016-07-25T04:00:00.000Z","56.68","0.19","-0.28","154,126,200"
"2016-08-01T04:00:00.000Z","57.96","2.26","1.79","139,123,900"
"2016-08-08T04:00:00.000Z","57.94","-0.03","-0.51","91,968,600"
"2016-08-15T04:00:00.000Z","57.62","-0.55","-1.02","90,149,100"
"2016-08-22T04:00:00.000Z","58.03","0.71","0.24","91,629,600"
