"Date","Close","% Change","% Change vs Average","Volume"
"1999-11-01T05:00:00.000Z","45.52","-1.64","-2.68","1,465,256,000"
"1999-12-01T05:00:00.000Z","58.38","28.23","27.19","1,260,977,800"
"2000-01-01T05:00:00.000Z","48.94","-16.17","-17.21","1,274,875,200"
"2000-02-01T05:00:00.000Z","44.69","-8.68","-9.73","1,334,487,600"
"2000-03-01T05:00:00.000Z","53.13","18.88","17.84","2,028,187,600"
"2000-04-01T05:00:00.000Z","34.88","-34.35","-35.40","2,258,146,600"
"2000-05-01T04:00:00.000Z","31.28","-10.30","-11.35","1,344,430,800"
"2000-06-01T04:00:00.000Z","40.00","27.87","26.83","1,467,050,200"
"2000-07-01T04:00:00.000Z","34.91","-12.73","-13.78","1,234,185,800"
"2000-08-01T04:00:00.000Z","34.91","0","-1.04","1,219,399,800"
"2000-09-01T04:00:00.000Z","30.16","-13.61","-14.65","1,425,533,800"
"2000-10-01T04:00:00.000Z","34.44","14.20","13.15","2,469,415,600"
"2000-11-01T05:00:00.000Z","28.69","-16.70","-17.74","1,983,462,600"
"2000-12-01T05:00:00.000Z","21.69","-24.40","-25.44","2,056,668,200"
"2001-01-01T05:00:00.000Z","30.53","40.78","39.74","2,005,531,200"
"2001-02-01T05:00:00.000Z","29.50","-3.38","-4.42","1,536,895,600"
"2001-03-01T05:00:00.000Z","27.34","-7.31","-8.35","1,895,349,800"
"2001-04-01T05:00:00.000Z","33.88","23.89","22.84","2,075,807,000"
"2001-05-01T04:00:00.000Z","34.59","2.11","1.07","1,777,305,800"
"2001-06-01T04:00:00.000Z","36.50","5.52","4.48","1,449,177,800"
"2001-07-01T04:00:00.000Z","33.10","-9.33","-10.37","1,455,201,000"
"2001-08-01T04:00:00.000Z","28.52","-13.81","-14.85","1,153,896,400"
"2001-09-01T04:00:00.000Z","25.58","-10.31","-11.35","1,510,824,400"
"2001-10-01T04:00:00.000Z","29.08","13.64","12.60","1,750,891,000"
"2001-11-01T05:00:00.000Z","32.10","10.42","9.38","1,330,968,600"
"2001-12-01T05:00:00.000Z","33.13","3.18","2.13","977,089,000"
"2002-01-01T05:00:00.000Z","31.85","-3.83","-4.88","1,360,115,800"
"2002-02-01T05:00:00.000Z","29.17","-8.43","-9.47","1,131,159,200"
"2002-03-01T05:00:00.000Z","30.16","3.38","2.33","1,073,244,200"
"2002-04-01T05:00:00.000Z","26.13","-13.35","-14.39","1,417,479,400"
"2002-05-01T04:00:00.000Z","25.45","-2.58","-3.63","1,420,266,200"
"2002-06-01T04:00:00.000Z","27.35","7.44","6.40","1,834,073,000"
"2002-07-01T04:00:00.000Z","23.99","-12.29","-13.33","2,432,188,000"
"2002-08-01T04:00:00.000Z","24.54","2.29","1.25","1,715,757,200"
"2002-09-01T04:00:00.000Z","21.87","-10.88","-11.92","1,695,705,800"
"2002-10-01T04:00:00.000Z","26.74","22.25","21.20","2,475,370,600"
"2002-11-01T05:00:00.000Z","28.84","7.87","6.83","1,555,997,200"
"2002-12-01T05:00:00.000Z","25.85","-10.37","-11.41","1,268,370,200"
"2003-01-01T05:00:00.000Z","23.73","-8.20","-9.24","1,718,662,200"
"2003-02-01T05:00:00.000Z","23.70","-0.13","-1.17","1,346,970,800"
"2003-03-01T05:00:00.000Z","24.21","2.15","1.11","1,371,902,600"
"2003-04-01T05:00:00.000Z","25.57","5.62","4.57","1,249,617,700"
"2003-05-01T04:00:00.000Z","24.61","-3.75","-4.80","1,311,003,700"
"2003-06-01T04:00:00.000Z","25.64","4.19","3.14","1,569,995,800"
"2003-07-01T04:00:00.000Z","26.41","3.00","1.96","1,292,011,000"
"2003-08-01T04:00:00.000Z","26.52","0.42","-0.63","966,506,900"
"2003-09-01T04:00:00.000Z","27.80","4.83","3.78","1,253,309,100"
"2003-10-01T04:00:00.000Z","26.14","-5.97","-7.01","1,400,032,500"
