"Date","Close","% Change","% Change vs Average","Volume"
"2016-04-11T04:00:00.000Z","0.93","4.12","2.84","1,884,540,000"
"2016-04-18T04:00:00.000Z","0.91","-2.32","-3.60","1,218,464,000"
"2016-04-25T04:00:00.000Z","0.89","-2.04","-3.33","1,462,032,000"
"2016-05-02T04:00:00.000Z","0.88","-0.56","-1.85","1,435,988,000"
"2016-05-09T04:00:00.000Z","1.02","15.99","14.71","3,711,984,000"
"2016-05-16T04:00:00.000Z","1.11","8.17","6.89","2,932,460,000"
"2016-05-23T04:00:00.000Z","1.15","3.54","2.26","1,874,880,000"
"2016-05-30T04:00:00.000Z","1.16","1.26","-0.02","1,589,940,000"
"2016-06-06T04:00:00.000Z","1.15","-0.60","-1.89","1,622,720,000"
"2016-06-13T04:00:00.000Z","1.17","1.13","-0.16","1,792,424,000"
"2016-06-20T04:00:00.000Z","1.14","-2.12","-3.40","2,024,460,000"
"2016-06-27T04:00:00.000Z","1.17","2.03","0.75","1,799,368,000"
"2016-07-04T04:00:00.000Z","1.27","8.98","7.69","1,521,520,000"
"2016-07-11T04:00:00.000Z","1.32","3.64","2.35","1,955,648,000"
"2016-07-18T04:00:00.000Z","1.37","3.74","2.45","1,609,180,000"
"2016-07-25T04:00:00.000Z","1.43","4.44","3.16","1,905,216,000"
"2016-08-01T04:00:00.000Z","1.46","1.93","0.64","1,527,996,000"
"2016-08-08T04:00:00.000Z","1.58","8.32","7.03","3,159,956,000"
"2016-08-15T04:00:00.000Z","1.56","-1.24","-2.52","2,079,412,000"
"2016-08-22T04:00:00.000Z","1.55","-0.37","-1.66","1,589,016,000"
"2016-08-29T04:00:00.000Z","1.56","0.81","-0.48","1,700,380,000"
"2016-09-05T04:00:00.000Z","1.49","-4.81","-6.10","1,718,368,000"
"2016-09-12T04:00:00.000Z","1.57","5.58","4.29","2,806,732,000"
"2016-09-19T04:00:00.000Z","1.62","3.36","2.07","1,669,316,000"
"2016-09-26T04:00:00.000Z","1.71","5.50","4.21","1,719,196,000"
"2016-10-03T04:00:00.000Z","1.67","-2.44","-3.72","1,476,132,000"
"2016-10-10T04:00:00.000Z","1.65","-1.29","-2.57","1,817,088,000"
"2016-10-17T04:00:00.000Z","1.69","2.35","1.06","1,255,352,000"
"2016-10-24T04:00:00.000Z","1.76","4.47","3.19","1,750,608,000"
"2016-10-31T04:00:00.000Z","1.69","-4.24","-5.52","1,659,904,000"
"2016-11-07T05:00:00.000Z","2.20","30.19","28.90","4,418,620,000"
"2016-11-14T05:00:00.000Z","2.33","6.13","4.84","4,371,920,000"
"2016-11-21T05:00:00.000Z","2.35","0.86","-0.43","1,405,604,000"
"2016-11-28T05:00:00.000Z","2.21","-6.06","-7.35","2,677,620,000"
"2016-12-05T05:00:00.000Z","2.30","3.81","2.52","2,345,740,000"
"2016-12-12T05:00:00.000Z","2.51","9.36","8.07","3,809,184,000"
"2016-12-19T05:00:00.000Z","2.74","9.33","8.05","3,535,152,000"
"2016-12-26T05:00:00.000Z","2.67","-2.77","-4.06","6,878,336,000"
"2017-01-02T05:00:00.000Z","2.58","-3.41","-4.70","4,508,368,000"
