"Date","Close","% Change","% Change vs Average","Volume"
"2010-12-01T05:00:00.000Z","0.38","13.15","8.84","11,204,136,000"
"2011-01-01T05:00:00.000Z","0.60","55.32","51.02","32,736,884,000"
"2011-02-01T05:00:00.000Z","0.57","-5.27","-9.58","24,025,764,000"
"2011-03-01T05:00:00.000Z","0.46","-18.53","-22.84","27,597,580,000"
"2011-04-01T04:00:00.000Z","0.50","8.34","4.03","15,322,072,000"
"2011-05-01T04:00:00.000Z","0.50","0.20","-4.11","17,162,516,000"
"2011-06-01T04:00:00.000Z","0.40","-20.46","-24.77","15,953,784,000"
"2011-07-01T04:00:00.000Z","0.35","-13.24","-17.54","14,551,656,000"
"2011-08-01T04:00:00.000Z","0.33","-3.76","-8.07","22,571,904,000"
"2011-09-01T04:00:00.000Z","0.31","-6.01","-10.32","20,084,740,000"
"2011-10-01T04:00:00.000Z","0.37","18.31","14.00","14,851,364,000"
"2011-11-01T04:00:00.000Z","0.39","5.61","1.30","16,166,032,000"
"2011-12-01T05:00:00.000Z","0.35","-11.32","-15.63","9,742,340,000"
"2012-01-01T05:00:00.000Z","0.37","6.57","2.26","11,596,668,000"
"2012-02-01T05:00:00.000Z","0.38","2.57","-1.74","13,078,296,000"
"2012-03-01T05:00:00.000Z","0.38","1.65","-2.66","10,325,244,000"
"2012-04-01T04:00:00.000Z","0.32","-15.58","-19.89","9,550,924,000"
"2012-05-01T04:00:00.000Z","0.31","-4.38","-8.69","11,370,012,000"
"2012-06-01T04:00:00.000Z","0.35","11.18","6.87","11,529,368,000"
"2012-07-01T04:00:00.000Z","0.34","-2.03","-6.33","8,499,872,000"
"2012-08-01T04:00:00.000Z","0.35","3.62","-0.69","9,917,124,000"
"2012-09-01T04:00:00.000Z","0.33","-4.92","-9.23","8,749,448,000"
"2012-10-01T04:00:00.000Z","0.30","-10.19","-14.50","8,135,772,000"
"2012-11-01T04:00:00.000Z","0.30","-0.08","-4.39","9,985,612,000"
"2012-12-01T05:00:00.000Z","0.31","2.42","-1.89","8,037,340,000"
"2013-01-01T05:00:00.000Z","0.31","0","-4.31","9,181,612,000"
"2013-02-01T05:00:00.000Z","0.32","3.26","-1.05","9,901,680,000"
"2013-03-01T05:00:00.000Z","0.32","1.34","-2.97","6,613,708,000"
"2013-04-01T04:00:00.000Z","0.34","7.33","3.02","9,386,076,000"
"2013-05-01T04:00:00.000Z","0.36","5.08","0.78","8,291,540,000"
"2013-06-01T04:00:00.000Z","0.35","-2.97","-7.28","9,295,708,000"
"2013-07-01T04:00:00.000Z","0.36","2.85","-1.46","5,229,992,000"
"2013-08-01T04:00:00.000Z","0.37","2.15","-2.16","7,857,064,000"
"2013-09-01T04:00:00.000Z","0.39","5.49","1.18","4,819,932,000"
"2013-10-01T04:00:00.000Z","0.38","-2.38","-6.69","5,772,612,000"
"2013-11-01T04:00:00.000Z","0.39","2.70","-1.61","6,629,476,000"
"2013-12-01T05:00:00.000Z","0.40","2.69","-1.62","6,167,976,000"
"2014-01-01T05:00:00.000Z","0.39","-2.00","-6.31","5,421,052,000"
"2014-02-01T05:00:00.000Z","0.46","17.07","12.76","7,722,568,000"
"2014-03-01T05:00:00.000Z","0.45","-2.56","-6.86","7,217,988,000"
