"Date","Close","% Change","% Change vs Average","Volume"
"2016-01-04T05:00:00.000Z","191.92","-5.86","-6.12","908,565,200"
"2016-01-11T05:00:00.000Z","187.81","-2.14","-2.40","1,147,082,700"
"2016-01-18T05:00:00.000Z","190.52","1.44","1.19","845,884,700"
"2016-01-25T05:00:00.000Z","193.72","1.68","1.42","811,418,300"
"2016-02-01T05:00:00.000Z","187.95","-2.98","-3.23","844,001,500"
"2016-02-08T05:00:00.000Z","186.63","-0.70","-0.96","870,945,200"
"2016-02-15T05:00:00.000Z","192.00","2.88","2.62","473,396,200"
"2016-02-22T05:00:00.000Z","195.09","1.61","1.35","606,469,800"
"2016-02-29T05:00:00.000Z","200.43","2.74","2.48","594,598,600"
"2016-03-07T05:00:00.000Z","202.76","1.16","0.91","613,798,300"
"2016-03-14T04:00:00.000Z","204.38","0.80","0.54","568,735,200"
"2016-03-21T04:00:00.000Z","203.12","-0.62","-0.87","335,812,000"
"2016-03-28T04:00:00.000Z","206.92","1.87","1.62","450,704,000"
"2016-04-04T04:00:00.000Z","204.50","-1.17","-1.43","463,898,600"
"2016-04-11T04:00:00.000Z","207.78","1.60","1.35","436,419,000"
"2016-04-18T04:00:00.000Z","208.97","0.57","0.32","436,894,100"
"2016-04-25T04:00:00.000Z","206.33","-1.26","-1.52","459,000,400"
"2016-05-02T04:00:00.000Z","205.72","-0.30","-0.55","417,788,100"
"2016-05-09T04:00:00.000Z","204.76","-0.47","-0.72","419,635,000"
"2016-05-16T04:00:00.000Z","205.49","0.36","0.10","532,894,700"
"2016-05-23T04:00:00.000Z","210.24","2.31","2.06","348,333,700"
"2016-05-30T04:00:00.000Z","210.28","0.02","-0.24","344,617,400"
"2016-06-06T04:00:00.000Z","210.07","-0.10","-0.36","379,648,800"
"2016-06-13T04:00:00.000Z","206.52","-1.69","-1.95","618,523,800"
"2016-06-20T04:00:00.000Z","203.24","-1.59","-1.84","686,987,600"
"2016-06-27T04:00:00.000Z","209.92","3.29","3.03","798,564,000"
"2016-07-04T04:00:00.000Z","212.65","1.30","1.04","425,390,000"
"2016-07-11T04:00:00.000Z","215.83","1.50","1.24","460,619,900"
"2016-07-18T04:00:00.000Z","217.24","0.65","0.40","301,795,900"
"2016-07-25T04:00:00.000Z","217.12","-0.06","-0.31","354,592,600"
"2016-08-01T04:00:00.000Z","218.18","0.49","0.23","338,078,200"
"2016-08-08T04:00:00.000Z","218.46","0.13","-0.13","282,917,100"
"2016-08-15T04:00:00.000Z","218.54","0.04","-0.22","306,593,700"
