"Date","Close","% Change","% Change vs Average","Volume"
"2016-04-11T04:00:00.000Z","16.97","1.78","0.77","416,026,500"
"2016-04-18T04:00:00.000Z","16.92","-0.30","-1.30","335,886,000"
"2016-04-25T04:00:00.000Z","16.05","-5.12","-6.12","270,490,500"
"2016-05-02T04:00:00.000Z","14.33","-10.73","-11.73","506,799,000"
"2016-05-09T04:00:00.000Z","13.84","-3.41","-4.41","307,233,000"
"2016-05-16T04:00:00.000Z","14.69","6.10","5.10","409,258,500"
"2016-05-23T04:00:00.000Z","14.87","1.25","0.25","284,487,000"
"2016-05-30T04:00:00.000Z","14.60","-1.82","-2.82","150,502,500"
"2016-06-06T04:00:00.000Z","14.59","-0.09","-1.10","374,307,000"
"2016-06-13T04:00:00.000Z","14.36","-1.52","-2.52","243,519,000"
"2016-06-20T04:00:00.000Z","12.88","-10.36","-11.36","734,761,500"
"2016-06-27T04:00:00.000Z","14.43","12.09","11.08","444,837,000"
"2016-07-04T04:00:00.000Z","14.45","0.13","-0.88","266,730,000"
"2016-07-11T04:00:00.000Z","14.69","1.67","0.66","277,173,000"
"2016-07-18T04:00:00.000Z","14.82","0.85","-0.16","241,561,500"
"2016-07-25T04:00:00.000Z","15.65","5.63","4.63","244,494,000"
"2016-08-01T04:00:00.000Z","15.34","-2.03","-3.03","287,860,500"
"2016-08-08T04:00:00.000Z","15.04","-1.92","-2.93","157,561,500"
"2016-08-15T04:00:00.000Z","15.00","-0.27","-1.28","141,937,500"
"2016-08-22T04:00:00.000Z","14.67","-2.23","-3.23","201,331,500"
"2016-08-29T04:00:00.000Z","13.19","-10.10","-11.10","354,483,000"
"2016-09-05T04:00:00.000Z","12.96","-1.67","-2.68","227,496,000"
"2016-09-12T04:00:00.000Z","13.69","5.62","4.62","236,161,500"
"2016-09-19T04:00:00.000Z","13.83","1.00","-0.01","189,474,000"
"2016-09-26T04:00:00.000Z","13.60","-1.65","-2.65","197,539,500"
"2016-10-03T04:00:00.000Z","13.11","-3.64","-4.64","294,229,500"
"2016-10-10T04:00:00.000Z","13.10","-0.05","-1.06","215,698,500"
"2016-10-17T04:00:00.000Z","13.34","1.82","0.82","378,631,500"
"2016-10-24T04:00:00.000Z","13.33","-0.06","-1.07","423,048,000"
"2016-10-31T04:00:00.000Z","12.70","-4.71","-5.71","357,070,500"
"2016-11-07T05:00:00.000Z","12.57","-1.05","-2.05","390,744,000"
"2016-11-14T05:00:00.000Z","12.33","-1.88","-2.88","359,790,000"
"2016-11-21T05:00:00.000Z","13.11","6.29","5.28","258,336,000"
"2016-11-28T05:00:00.000Z","12.10","-7.72","-8.72","325,264,500"
"2016-12-05T05:00:00.000Z","12.81","5.90","4.90","282,634,500"
"2016-12-12T05:00:00.000Z","13.50","5.36","4.36","306,453,000"
"2016-12-19T05:00:00.000Z","14.22","5.36","4.35","317,496,000"
"2016-12-26T05:00:00.000Z","14.25","0.16","-0.84","275,787,000"
"2017-01-02T05:00:00.000Z","15.27","7.17","6.16","428,646,000"
"2017-01-09T05:00:00.000Z","15.85","3.82","2.81","317,602,500"
"2017-01-16T05:00:00.000Z","16.32","2.94","1.93","304,846,500"
"2017-01-23T05:00:00.000Z","16.86","3.36","2.35","340,341,000"
"2017-01-30T05:00:00.000Z","16.76","-0.64","-1.65","248,437,500"
"2017-02-06T05:00:00.000Z","17.95","7.12","6.12","347,703,000"
"2017-02-13T05:00:00.000Z","18.15","1.11","0.11","489,856,500"
"2017-02-20T05:00:00.000Z","17.13","-5.59","-6.60","562,777,500"
"2017-02-27T05:00:00.000Z","16.77","-2.11","-3.12","429,294,000"
"2017-03-06T05:00:00.000Z","16.25","-3.13","-4.14","262,287,000"
"2017-03-13T04:00:00.000Z","17.43","7.31","6.30","443,722,500"
"2017-03-20T04:00:00.000Z","17.54","0.63","-0.37","353,245,500"
"2017-03-27T04:00:00.000Z","18.55","5.75","4.75","380,064,000"
"2017-04-03T04:00:00.000Z","20.17","8.71","7.70","630,064,500"
"2017-04-10T04:00:00.000Z","20.27","0.48","-0.52","430,866,000"
"2017-04-17T04:00:00.000Z","20.37","0.53","-0.48","325,974,000"
"2017-04-24T04:00:00.000Z","20.94","2.77","1.77","367,354,500"
"2017-05-01T04:00:00.000Z","20.56","-1.82","-2.83","655,126,500"
"2017-05-08T04:00:00.000Z","21.65","5.34","4.33","469,500,000"
"2017-05-15T04:00:00.000Z","20.72","-4.30","-5.31","432,417,000"
"2017-05-22T04:00:00.000Z","21.68","4.60","3.60","397,456,500"
"2017-05-29T04:00:00.000Z","22.66","4.52","3.52","464,167,500"
"2017-06-05T04:00:00.000Z","23.82","5.14","4.14","803,881,500"
"2017-06-12T04:00:00.000Z","24.76","3.94","2.94","784,522,500"
"2017-06-19T04:00:00.000Z","25.56","3.24","2.24","493,302,000"
"2017-06-26T04:00:00.000Z","24.11","-5.70","-6.70","509,587,500"
"2017-07-03T04:00:00.000Z","20.88","-13.38","-14.39","852,802,500"
"2017-07-10T04:00:00.000Z","21.85","4.65","3.64","749,191,500"
"2017-07-17T04:00:00.000Z","21.89","0.19","-0.82","490,131,000"
"2017-07-24T04:00:00.000Z","22.34","2.03","1.03","504,448,500"
"2017-07-31T04:00:00.000Z","23.79","6.52","5.51","791,004,000"
"2017-08-07T04:00:00.000Z","23.86","0.27","-0.74","481,876,500"
"2017-08-14T04:00:00.000Z","23.16","-2.91","-3.91","321,810,000"
"2017-08-21T04:00:00.000Z","23.20","0.17","-0.84","357,609,000"
"2017-08-28T04:00:00.000Z","23.69","2.11","1.11","275,593,500"
"2017-09-04T04:00:00.000Z","22.89","-3.38","-4.38","231,438,000"
"2017-09-11T04:00:00.000Z","25.32","10.60","9.60","456,723,000"
"2017-09-18T04:00:00.000Z","23.41","-7.56","-8.57","470,049,000"
"2017-09-25T04:00:00.000Z","22.74","-2.85","-3.85","468,738,000"
"2017-10-02T04:00:00.000Z","23.79","4.63","3.62","481,096,500"
"2017-10-09T04:00:00.000Z","23.70","-0.37","-1.37","399,007,500"
"2017-10-16T04:00:00.000Z","23.01","-2.94","-3.95","354,001,500"
"2017-10-23T04:00:00.000Z","21.39","-7.02","-8.03","462,544,500"
"2017-10-30T04:00:00.000Z","20.41","-4.61","-5.61","706,041,000"
"2017-11-06T05:00:00.000Z","20.20","-1.01","-2.02","398,671,500"
"2017-11-13T05:00:00.000Z","21.00","3.98","2.98","581,953,500"
"2017-11-20T05:00:00.000Z","21.04","0.16","-0.85","355,060,500"
"2017-11-27T05:00:00.000Z","20.44","-2.86","-3.86","403,759,500"
"2017-12-04T05:00:00.000Z","21.01","2.81","1.80","388,890,000"
"2017-12-11T05:00:00.000Z","22.90","8.99","7.98","534,387,000"
"2017-12-18T05:00:00.000Z","21.68","-5.31","-6.32","402,840,000"
"2017-12-25T05:00:00.000Z","20.76","-4.26","-5.26","257,760,000"
"2018-01-01T05:00:00.000Z","21.11","1.68","0.67","351,168,000"
"2018-01-08T05:00:00.000Z","22.41","6.20","5.20","491,797,500"
"2018-01-15T05:00:00.000Z","23.33","4.10","3.10","362,278,500"
"2018-01-22T05:00:00.000Z","22.86","-2.05","-3.05","423,645,000"
"2018-01-29T05:00:00.000Z","22.92","0.26","-0.74","353,721,000"
"2018-02-05T05:00:00.000Z","20.69","-9.70","-10.70","596,550,000"
"2018-02-12T05:00:00.000Z","22.37","8.08","7.07","394,413,000"
"2018-02-19T05:00:00.000Z","23.47","4.94","3.93","300,243,000"
"2018-02-26T05:00:00.000Z","22.34","-4.81","-5.81","407,782,500"
"2018-03-05T05:00:00.000Z","21.81","-2.37","-3.38","332,847,000"
"2018-03-12T04:00:00.000Z","21.42","-1.78","-2.78","523,189,500"
"2018-03-19T04:00:00.000Z","20.10","-6.16","-7.17","447,025,500"
"2018-03-26T04:00:00.000Z","17.74","-11.74","-12.75","876,289,500"
"2018-04-02T04:00:00.000Z","19.95","12.46","11.46","1,312,447,500"
"2018-04-09T04:00:00.000Z","20.02","0.35","-0.66","654,877,500"
"2018-04-16T04:00:00.000Z","19.35","-3.36","-4.37","474,220,500"
"2018-04-23T04:00:00.000Z","19.61","1.32","0.32","349,693,500"
"2018-04-30T04:00:00.000Z","19.61","0","-1.00","656,185,500"
"2018-05-07T04:00:00.000Z","20.07","2.37","1.36","460,002,000"
"2018-05-14T04:00:00.000Z","18.45","-8.05","-9.06","512,287,500"
"2018-05-21T04:00:00.000Z","18.59","0.73","-0.27","482,479,500"
"2018-05-28T04:00:00.000Z","19.45","4.65","3.65","367,506,000"
"2018-06-04T04:00:00.000Z","21.18","8.85","7.85","781,662,000"
"2018-06-11T04:00:00.000Z","23.88","12.75","11.75","1,002,450,000"
"2018-06-18T04:00:00.000Z","22.24","-6.85","-7.86","771,780,000"
"2018-06-25T04:00:00.000Z","22.86","2.79","1.79","564,118,500"
"2018-07-02T04:00:00.000Z","20.59","-9.93","-10.93","860,764,500"
"2018-07-09T04:00:00.000Z","21.26","3.23","2.22","503,151,000"
"2018-07-16T04:00:00.000Z","20.91","-1.66","-2.66","472,749,000"
"2018-07-23T04:00:00.000Z","19.81","-5.23","-6.24","569,893,500"
"2018-07-30T04:00:00.000Z","23.21","17.16","16.15","883,378,500"
"2018-08-06T04:00:00.000Z","23.70","2.10","1.10","1,391,206,500"
"2018-08-13T04:00:00.000Z","20.37","-14.06","-15.07","773,613,000"
"2018-08-20T04:00:00.000Z","21.52","5.67","4.66","679,056,000"
"2018-08-27T04:00:00.000Z","20.11","-6.55","-7.56","611,514,000"
"2018-09-03T04:00:00.000Z","17.55","-12.74","-13.74","690,660,000"
"2018-09-10T04:00:00.000Z","19.68","12.14","11.14","698,622,000"
"2018-09-17T04:00:00.000Z","19.94","1.32","0.32","661,948,500"
"2018-09-24T04:00:00.000Z","17.65","-11.48","-12.48","889,900,500"
"2018-10-01T04:00:00.000Z","17.46","-1.07","-2.07","1,039,122,000"
"2018-10-08T04:00:00.000Z","17.25","-1.21","-2.22","805,765,500"
"2018-10-15T04:00:00.000Z","17.33","0.47","-0.53","587,679,000"
"2018-10-22T04:00:00.000Z","22.06","27.27","26.26","1,394,289,000"
"2018-10-29T04:00:00.000Z","23.09","4.69","3.68","705,676,500"
"2018-11-05T05:00:00.000Z","23.37","1.18","0.18","512,368,500"
"2018-11-12T05:00:00.000Z","23.62","1.08","0.08","438,934,500"
"2018-11-19T05:00:00.000Z","21.72","-8.04","-9.04","399,045,000"
"2018-11-26T05:00:00.000Z","23.37","7.57","6.56","407,817,000"
"2018-12-03T05:00:00.000Z","23.86","2.14","1.13","541,831,500"
"2018-12-10T05:00:00.000Z","24.38","2.16","1.16","474,792,000"
"2018-12-17T05:00:00.000Z","21.32","-12.56","-13.57","602,053,500"
"2018-12-24T05:00:00.000Z","22.26","4.41","3.40","483,556,500"
"2018-12-31T05:00:00.000Z","21.18","-4.85","-5.85","484,803,000"
"2019-01-07T05:00:00.000Z","23.15","9.31","8.30","466,321,500"
"2019-01-14T05:00:00.000Z","20.15","-12.96","-13.96","657,346,500"
"2019-01-21T05:00:00.000Z","19.80","-1.73","-2.73","597,877,500"
"2019-01-28T05:00:00.000Z","20.81","5.11","4.10","632,218,500"
"2019-02-04T05:00:00.000Z","20.39","-2.05","-3.06","472,473,000"
"2019-02-11T05:00:00.000Z","20.53","0.68","-0.32","403,419,000"
"2019-02-18T05:00:00.000Z","19.65","-4.28","-5.28","389,404,500"
"2019-02-25T05:00:00.000Z","19.65","0.03","-0.98","897,375,000"
"2019-03-04T05:00:00.000Z","18.94","-3.61","-4.62","966,886,500"
"2019-03-11T04:00:00.000Z","18.36","-3.07","-4.07","654,450,000"
"2019-03-18T04:00:00.000Z","17.64","-3.96","-4.96","655,237,500"
