"Date","Close","% Change","% Change vs Average","Volume"
"2010-07-01T04:00:00.000Z","1.33","0","-4.66","968,637,000"
"2010-08-01T04:00:00.000Z","1.30","-2.31","-6.96","225,573,000"
"2010-09-01T04:00:00.000Z","1.36","4.77","0.12","270,688,500"
"2010-10-01T04:00:00.000Z","1.46","7.01","2.35","98,217,000"
"2010-11-01T04:00:00.000Z","2.36","61.77","57.11","424,726,500"
"2010-12-01T05:00:00.000Z","1.78","-24.62","-29.28","553,393,500"
"2011-01-01T05:00:00.000Z","1.61","-9.50","-14.16","426,301,500"
"2011-02-01T05:00:00.000Z","1.59","-0.87","-5.53","439,552,500"
"2011-03-01T05:00:00.000Z","1.85","16.16","11.50","488,449,500"
"2011-04-01T04:00:00.000Z","1.84","-0.54","-5.20","448,423,500"
"2011-05-01T04:00:00.000Z","2.01","9.20","4.55","455,232,000"
"2011-06-01T04:00:00.000Z","1.94","-3.35","-8.01","595,909,500"
"2011-07-01T04:00:00.000Z","1.88","-3.30","-7.95","316,531,500"
"2011-08-01T04:00:00.000Z","1.65","-12.18","-16.83","408,235,500"
"2011-09-01T04:00:00.000Z","1.63","-1.41","-6.07","270,322,500"
"2011-10-01T04:00:00.000Z","1.96","20.42","15.76","324,939,000"
"2011-11-01T04:00:00.000Z","2.18","11.47","6.82","387,702,000"
"2011-12-01T05:00:00.000Z","1.90","-12.77","-17.42","316,927,500"
"2012-01-01T05:00:00.000Z","1.94","1.79","-2.87","384,148,500"
"2012-02-01T05:00:00.000Z","2.23","14.93","10.27","347,904,000"
"2012-03-01T05:00:00.000Z","2.48","11.46","6.81","332,452,500"
"2012-04-01T04:00:00.000Z","2.21","-11.04","-15.69","341,293,500"
"2012-05-01T04:00:00.000Z","1.97","-10.96","-15.61","512,779,500"
"2012-06-01T04:00:00.000Z","2.09","6.07","1.41","391,906,500"
"2012-07-01T04:00:00.000Z","1.83","-12.37","-17.02","488,151,000"
"2012-08-01T04:00:00.000Z","1.90","4.01","-0.64","367,231,500"
